model_name,d_in,d_out,prec,model_file
dense_2_42_2b,2,42,2,pregen_latency_models/dense_2_42_2b.h5
dense_2_42_4b,2,42,4,pregen_latency_models/dense_2_42_4b.h5
dense_2_42_6b,2,42,6,pregen_latency_models/dense_2_42_6b.h5
dense_2_42_8b,2,42,8,pregen_latency_models/dense_2_42_8b.h5
dense_2_42_10b,2,42,10,pregen_latency_models/dense_2_42_10b.h5
dense_2_42_12b,2,42,12,pregen_latency_models/dense_2_42_12b.h5
dense_2_42_14b,2,42,14,pregen_latency_models/dense_2_42_14b.h5
dense_2_42_16b,2,42,16,pregen_latency_models/dense_2_42_16b.h5
dense_2_44_2b,2,44,2,pregen_latency_models/dense_2_44_2b.h5
dense_2_44_4b,2,44,4,pregen_latency_models/dense_2_44_4b.h5
dense_2_44_6b,2,44,6,pregen_latency_models/dense_2_44_6b.h5
dense_2_44_8b,2,44,8,pregen_latency_models/dense_2_44_8b.h5
dense_2_44_10b,2,44,10,pregen_latency_models/dense_2_44_10b.h5
dense_2_44_12b,2,44,12,pregen_latency_models/dense_2_44_12b.h5
dense_2_44_14b,2,44,14,pregen_latency_models/dense_2_44_14b.h5
dense_2_44_16b,2,44,16,pregen_latency_models/dense_2_44_16b.h5
dense_2_46_2b,2,46,2,pregen_latency_models/dense_2_46_2b.h5
dense_2_46_4b,2,46,4,pregen_latency_models/dense_2_46_4b.h5
dense_2_46_6b,2,46,6,pregen_latency_models/dense_2_46_6b.h5
dense_2_46_8b,2,46,8,pregen_latency_models/dense_2_46_8b.h5
dense_2_46_10b,2,46,10,pregen_latency_models/dense_2_46_10b.h5
dense_2_46_12b,2,46,12,pregen_latency_models/dense_2_46_12b.h5
dense_2_46_14b,2,46,14,pregen_latency_models/dense_2_46_14b.h5
dense_2_46_16b,2,46,16,pregen_latency_models/dense_2_46_16b.h5
dense_2_48_2b,2,48,2,pregen_latency_models/dense_2_48_2b.h5
dense_2_48_4b,2,48,4,pregen_latency_models/dense_2_48_4b.h5
dense_2_48_6b,2,48,6,pregen_latency_models/dense_2_48_6b.h5
