model_name,d_in,d_out,d_out2,prec,model_file
dense_16_16_112_12b,16,16,112,12,pregen_2layer_models/dense_16_16_112_12b.h5
dense_16_16_112_14b,16,16,112,14,pregen_2layer_models/dense_16_16_112_14b.h5
dense_16_16_112_16b,16,16,112,16,pregen_2layer_models/dense_16_16_112_16b.h5
dense_16_16_120_2b,16,16,120,2,pregen_2layer_models/dense_16_16_120_2b.h5
dense_16_16_120_4b,16,16,120,4,pregen_2layer_models/dense_16_16_120_4b.h5
dense_16_16_120_6b,16,16,120,6,pregen_2layer_models/dense_16_16_120_6b.h5
dense_16_16_120_8b,16,16,120,8,pregen_2layer_models/dense_16_16_120_8b.h5
dense_16_16_120_10b,16,16,120,10,pregen_2layer_models/dense_16_16_120_10b.h5
dense_16_16_120_12b,16,16,120,12,pregen_2layer_models/dense_16_16_120_12b.h5
dense_16_16_120_14b,16,16,120,14,pregen_2layer_models/dense_16_16_120_14b.h5
dense_16_16_120_16b,16,16,120,16,pregen_2layer_models/dense_16_16_120_16b.h5
dense_16_16_128_2b,16,16,128,2,pregen_2layer_models/dense_16_16_128_2b.h5
dense_16_16_128_4b,16,16,128,4,pregen_2layer_models/dense_16_16_128_4b.h5
dense_16_16_128_6b,16,16,128,6,pregen_2layer_models/dense_16_16_128_6b.h5
dense_16_16_128_8b,16,16,128,8,pregen_2layer_models/dense_16_16_128_8b.h5
dense_16_16_128_10b,16,16,128,10,pregen_2layer_models/dense_16_16_128_10b.h5
dense_16_16_128_12b,16,16,128,12,pregen_2layer_models/dense_16_16_128_12b.h5
dense_16_16_128_14b,16,16,128,14,pregen_2layer_models/dense_16_16_128_14b.h5
dense_16_16_128_16b,16,16,128,16,pregen_2layer_models/dense_16_16_128_16b.h5
dense_16_24_72_2b,16,24,72,2,pregen_2layer_models/dense_16_24_72_2b.h5
dense_16_24_72_4b,16,24,72,4,pregen_2layer_models/dense_16_24_72_4b.h5
dense_16_24_72_6b,16,24,72,6,pregen_2layer_models/dense_16_24_72_6b.h5
dense_16_24_72_8b,16,24,72,8,pregen_2layer_models/dense_16_24_72_8b.h5
dense_16_24_72_10b,16,24,72,10,pregen_2layer_models/dense_16_24_72_10b.h5
dense_16_24_72_12b,16,24,72,12,pregen_2layer_models/dense_16_24_72_12b.h5
dense_16_24_72_14b,16,24,72,14,pregen_2layer_models/dense_16_24_72_14b.h5
dense_16_24_72_16b,16,24,72,16,pregen_2layer_models/dense_16_24_72_16b.h5
dense_16_24_80_2b,16,24,80,2,pregen_2layer_models/dense_16_24_80_2b.h5
dense_16_24_80_4b,16,24,80,4,pregen_2layer_models/dense_16_24_80_4b.h5
dense_16_24_80_6b,16,24,80,6,pregen_2layer_models/dense_16_24_80_6b.h5
dense_16_24_80_8b,16,24,80,8,pregen_2layer_models/dense_16_24_80_8b.h5
dense_16_24_80_10b,16,24,80,10,pregen_2layer_models/dense_16_24_80_10b.h5
dense_16_24_80_12b,16,24,80,12,pregen_2layer_models/dense_16_24_80_12b.h5
dense_16_24_80_14b,16,24,80,14,pregen_2layer_models/dense_16_24_80_14b.h5
dense_16_24_80_16b,16,24,80,16,pregen_2layer_models/dense_16_24_80_16b.h5
dense_16_24_88_2b,16,24,88,2,pregen_2layer_models/dense_16_24_88_2b.h5
dense_16_24_88_4b,16,24,88,4,pregen_2layer_models/dense_16_24_88_4b.h5
dense_16_24_88_6b,16,24,88,6,pregen_2layer_models/dense_16_24_88_6b.h5
dense_16_24_88_8b,16,24,88,8,pregen_2layer_models/dense_16_24_88_8b.h5
dense_16_24_88_10b,16,24,88,10,pregen_2layer_models/dense_16_24_88_10b.h5
dense_16_24_88_12b,16,24,88,12,pregen_2layer_models/dense_16_24_88_12b.h5
dense_16_24_88_14b,16,24,88,14,pregen_2layer_models/dense_16_24_88_14b.h5
dense_16_24_88_16b,16,24,88,16,pregen_2layer_models/dense_16_24_88_16b.h5
dense_16_24_96_2b,16,24,96,2,pregen_2layer_models/dense_16_24_96_2b.h5
dense_16_24_96_4b,16,24,96,4,pregen_2layer_models/dense_16_24_96_4b.h5
dense_16_24_96_6b,16,24,96,6,pregen_2layer_models/dense_16_24_96_6b.h5
dense_16_24_96_8b,16,24,96,8,pregen_2layer_models/dense_16_24_96_8b.h5
dense_16_24_96_10b,16,24,96,10,pregen_2layer_models/dense_16_24_96_10b.h5
dense_16_24_96_12b,16,24,96,12,pregen_2layer_models/dense_16_24_96_12b.h5
dense_16_24_96_14b,16,24,96,14,pregen_2layer_models/dense_16_24_96_14b.h5
dense_16_24_96_16b,16,24,96,16,pregen_2layer_models/dense_16_24_96_16b.h5
dense_16_24_104_2b,16,24,104,2,pregen_2layer_models/dense_16_24_104_2b.h5
dense_16_24_104_4b,16,24,104,4,pregen_2layer_models/dense_16_24_104_4b.h5
dense_16_24_104_6b,16,24,104,6,pregen_2layer_models/dense_16_24_104_6b.h5
dense_16_24_104_8b,16,24,104,8,pregen_2layer_models/dense_16_24_104_8b.h5
dense_16_24_104_10b,16,24,104,10,pregen_2layer_models/dense_16_24_104_10b.h5
dense_16_24_104_12b,16,24,104,12,pregen_2layer_models/dense_16_24_104_12b.h5
dense_16_24_104_14b,16,24,104,14,pregen_2layer_models/dense_16_24_104_14b.h5
dense_16_24_104_16b,16,24,104,16,pregen_2layer_models/dense_16_24_104_16b.h5
dense_16_24_112_2b,16,24,112,2,pregen_2layer_models/dense_16_24_112_2b.h5
dense_16_24_112_4b,16,24,112,4,pregen_2layer_models/dense_16_24_112_4b.h5
dense_16_24_112_6b,16,24,112,6,pregen_2layer_models/dense_16_24_112_6b.h5
dense_16_24_112_8b,16,24,112,8,pregen_2layer_models/dense_16_24_112_8b.h5
dense_16_24_112_10b,16,24,112,10,pregen_2layer_models/dense_16_24_112_10b.h5
dense_16_24_112_12b,16,24,112,12,pregen_2layer_models/dense_16_24_112_12b.h5
dense_16_24_112_14b,16,24,112,14,pregen_2layer_models/dense_16_24_112_14b.h5
dense_16_24_112_16b,16,24,112,16,pregen_2layer_models/dense_16_24_112_16b.h5
dense_16_24_120_2b,16,24,120,2,pregen_2layer_models/dense_16_24_120_2b.h5
dense_16_24_120_4b,16,24,120,4,pregen_2layer_models/dense_16_24_120_4b.h5
dense_16_24_120_6b,16,24,120,6,pregen_2layer_models/dense_16_24_120_6b.h5
dense_16_24_120_8b,16,24,120,8,pregen_2layer_models/dense_16_24_120_8b.h5
dense_16_24_120_10b,16,24,120,10,pregen_2layer_models/dense_16_24_120_10b.h5
dense_16_24_120_12b,16,24,120,12,pregen_2layer_models/dense_16_24_120_12b.h5
dense_16_24_120_14b,16,24,120,14,pregen_2layer_models/dense_16_24_120_14b.h5
dense_16_24_120_16b,16,24,120,16,pregen_2layer_models/dense_16_24_120_16b.h5
