model_name,d_in,d_out,d_out2,prec,model_file
dense_8_80_48_2b,8,80,48,2,pregen_2layer_models/dense_8_80_48_2b.h5
dense_8_80_48_4b,8,80,48,4,pregen_2layer_models/dense_8_80_48_4b.h5
dense_8_80_48_6b,8,80,48,6,pregen_2layer_models/dense_8_80_48_6b.h5
dense_8_80_48_8b,8,80,48,8,pregen_2layer_models/dense_8_80_48_8b.h5
dense_8_80_48_10b,8,80,48,10,pregen_2layer_models/dense_8_80_48_10b.h5
dense_8_80_48_12b,8,80,48,12,pregen_2layer_models/dense_8_80_48_12b.h5
dense_8_80_48_14b,8,80,48,14,pregen_2layer_models/dense_8_80_48_14b.h5
dense_8_80_48_16b,8,80,48,16,pregen_2layer_models/dense_8_80_48_16b.h5
dense_8_80_56_2b,8,80,56,2,pregen_2layer_models/dense_8_80_56_2b.h5
dense_8_80_56_4b,8,80,56,4,pregen_2layer_models/dense_8_80_56_4b.h5
dense_8_80_56_6b,8,80,56,6,pregen_2layer_models/dense_8_80_56_6b.h5
dense_8_80_56_8b,8,80,56,8,pregen_2layer_models/dense_8_80_56_8b.h5
dense_8_80_56_10b,8,80,56,10,pregen_2layer_models/dense_8_80_56_10b.h5
dense_8_80_56_12b,8,80,56,12,pregen_2layer_models/dense_8_80_56_12b.h5
dense_8_80_56_14b,8,80,56,14,pregen_2layer_models/dense_8_80_56_14b.h5
dense_8_80_56_16b,8,80,56,16,pregen_2layer_models/dense_8_80_56_16b.h5
dense_8_80_64_2b,8,80,64,2,pregen_2layer_models/dense_8_80_64_2b.h5
dense_8_80_64_4b,8,80,64,4,pregen_2layer_models/dense_8_80_64_4b.h5
dense_8_80_64_6b,8,80,64,6,pregen_2layer_models/dense_8_80_64_6b.h5
dense_8_80_64_8b,8,80,64,8,pregen_2layer_models/dense_8_80_64_8b.h5
dense_8_80_64_10b,8,80,64,10,pregen_2layer_models/dense_8_80_64_10b.h5
dense_8_80_64_12b,8,80,64,12,pregen_2layer_models/dense_8_80_64_12b.h5
dense_8_80_64_14b,8,80,64,14,pregen_2layer_models/dense_8_80_64_14b.h5
dense_8_80_64_16b,8,80,64,16,pregen_2layer_models/dense_8_80_64_16b.h5
dense_8_80_72_2b,8,80,72,2,pregen_2layer_models/dense_8_80_72_2b.h5
dense_8_80_72_4b,8,80,72,4,pregen_2layer_models/dense_8_80_72_4b.h5
dense_8_80_72_6b,8,80,72,6,pregen_2layer_models/dense_8_80_72_6b.h5
dense_8_80_72_8b,8,80,72,8,pregen_2layer_models/dense_8_80_72_8b.h5
dense_8_80_72_10b,8,80,72,10,pregen_2layer_models/dense_8_80_72_10b.h5
dense_8_80_72_12b,8,80,72,12,pregen_2layer_models/dense_8_80_72_12b.h5
dense_8_80_72_14b,8,80,72,14,pregen_2layer_models/dense_8_80_72_14b.h5
dense_8_80_72_16b,8,80,72,16,pregen_2layer_models/dense_8_80_72_16b.h5
dense_8_80_80_2b,8,80,80,2,pregen_2layer_models/dense_8_80_80_2b.h5
dense_8_80_80_4b,8,80,80,4,pregen_2layer_models/dense_8_80_80_4b.h5
dense_8_80_80_6b,8,80,80,6,pregen_2layer_models/dense_8_80_80_6b.h5
dense_8_80_80_8b,8,80,80,8,pregen_2layer_models/dense_8_80_80_8b.h5
dense_8_80_80_10b,8,80,80,10,pregen_2layer_models/dense_8_80_80_10b.h5
dense_8_80_80_12b,8,80,80,12,pregen_2layer_models/dense_8_80_80_12b.h5
dense_8_80_80_14b,8,80,80,14,pregen_2layer_models/dense_8_80_80_14b.h5
dense_8_80_80_16b,8,80,80,16,pregen_2layer_models/dense_8_80_80_16b.h5
dense_8_80_88_2b,8,80,88,2,pregen_2layer_models/dense_8_80_88_2b.h5
dense_8_80_88_4b,8,80,88,4,pregen_2layer_models/dense_8_80_88_4b.h5
dense_8_80_88_6b,8,80,88,6,pregen_2layer_models/dense_8_80_88_6b.h5
dense_8_80_88_8b,8,80,88,8,pregen_2layer_models/dense_8_80_88_8b.h5
dense_8_80_88_10b,8,80,88,10,pregen_2layer_models/dense_8_80_88_10b.h5
dense_8_80_88_12b,8,80,88,12,pregen_2layer_models/dense_8_80_88_12b.h5
dense_8_80_88_14b,8,80,88,14,pregen_2layer_models/dense_8_80_88_14b.h5
dense_8_80_88_16b,8,80,88,16,pregen_2layer_models/dense_8_80_88_16b.h5
dense_8_80_96_2b,8,80,96,2,pregen_2layer_models/dense_8_80_96_2b.h5
dense_8_80_96_4b,8,80,96,4,pregen_2layer_models/dense_8_80_96_4b.h5
dense_8_80_96_6b,8,80,96,6,pregen_2layer_models/dense_8_80_96_6b.h5
dense_8_80_96_8b,8,80,96,8,pregen_2layer_models/dense_8_80_96_8b.h5
dense_8_80_96_10b,8,80,96,10,pregen_2layer_models/dense_8_80_96_10b.h5
dense_8_80_96_12b,8,80,96,12,pregen_2layer_models/dense_8_80_96_12b.h5
dense_8_80_96_14b,8,80,96,14,pregen_2layer_models/dense_8_80_96_14b.h5
dense_8_80_96_16b,8,80,96,16,pregen_2layer_models/dense_8_80_96_16b.h5
dense_8_80_104_2b,8,80,104,2,pregen_2layer_models/dense_8_80_104_2b.h5
dense_8_80_104_4b,8,80,104,4,pregen_2layer_models/dense_8_80_104_4b.h5
dense_8_80_104_6b,8,80,104,6,pregen_2layer_models/dense_8_80_104_6b.h5
dense_8_80_104_8b,8,80,104,8,pregen_2layer_models/dense_8_80_104_8b.h5
dense_8_80_104_10b,8,80,104,10,pregen_2layer_models/dense_8_80_104_10b.h5
dense_8_80_104_12b,8,80,104,12,pregen_2layer_models/dense_8_80_104_12b.h5
dense_8_80_104_14b,8,80,104,14,pregen_2layer_models/dense_8_80_104_14b.h5
dense_8_80_104_16b,8,80,104,16,pregen_2layer_models/dense_8_80_104_16b.h5
dense_8_80_112_2b,8,80,112,2,pregen_2layer_models/dense_8_80_112_2b.h5
dense_8_80_112_4b,8,80,112,4,pregen_2layer_models/dense_8_80_112_4b.h5
dense_8_80_112_6b,8,80,112,6,pregen_2layer_models/dense_8_80_112_6b.h5
dense_8_80_112_8b,8,80,112,8,pregen_2layer_models/dense_8_80_112_8b.h5
dense_8_80_112_10b,8,80,112,10,pregen_2layer_models/dense_8_80_112_10b.h5
dense_8_80_112_12b,8,80,112,12,pregen_2layer_models/dense_8_80_112_12b.h5
dense_8_80_112_14b,8,80,112,14,pregen_2layer_models/dense_8_80_112_14b.h5
dense_8_80_112_16b,8,80,112,16,pregen_2layer_models/dense_8_80_112_16b.h5
dense_8_80_120_2b,8,80,120,2,pregen_2layer_models/dense_8_80_120_2b.h5
dense_8_80_120_4b,8,80,120,4,pregen_2layer_models/dense_8_80_120_4b.h5
dense_8_80_120_6b,8,80,120,6,pregen_2layer_models/dense_8_80_120_6b.h5
dense_8_80_120_8b,8,80,120,8,pregen_2layer_models/dense_8_80_120_8b.h5
