model_name,d_in,d_out,prec,model_file,rf,strategy,hls_synth_success,TargetClockPeriod_hls,EstimatedClockPeriod_hls,BestLatency_hls,WorstLatency_hls,IntervalMin_hls,IntervalMax_hls,FF_hls,LUT_hls,BRAM_18K_hls,DSP_hls,URAM_hls,AvailableBRAM_18K_hls,AvailableDSP_hls,AvailableFF_hls,AvailableLUT_hls,AvailableURAM_hls
dense_32_160_12b,32,160,12,pregen_models/dense_32_160_12b.h5,1,latency,False,,,,,,,,,,,,,,,,
dense_32_160_12b,32,160,12,pregen_models/dense_32_160_12b.h5,512,latency,False,,,,,,,,,,,,,,,,
dense_32_160_12b,32,160,12,pregen_models/dense_32_160_12b.h5,1024,latency,False,,,,,,,,,,,,,,,,
dense_32_160_14b,32,160,14,pregen_models/dense_32_160_14b.h5,1,latency,False,,,,,,,,,,,,,,,,
dense_32_160_14b,32,160,14,pregen_models/dense_32_160_14b.h5,512,latency,False,,,,,,,,,,,,,,,,
dense_32_160_14b,32,160,14,pregen_models/dense_32_160_14b.h5,1024,latency,False,,,,,,,,,,,,,,,,
dense_32_192_2b,32,192,2,pregen_models/dense_32_192_2b.h5,1,latency,False,,,,,,,,,,,,,,,,
dense_32_192_2b,32,192,2,pregen_models/dense_32_192_2b.h5,512,latency,False,,,,,,,,,,,,,,,,
dense_32_192_2b,32,192,2,pregen_models/dense_32_192_2b.h5,1024,latency,False,,,,,,,,,,,,,,,,
dense_32_192_4b,32,192,4,pregen_models/dense_32_192_4b.h5,1,latency,False,,,,,,,,,,,,,,,,
dense_32_192_4b,32,192,4,pregen_models/dense_32_192_4b.h5,512,latency,False,,,,,,,,,,,,,,,,
dense_32_192_4b,32,192,4,pregen_models/dense_32_192_4b.h5,1024,latency,False,,,,,,,,,,,,,,,,
dense_32_192_6b,32,192,6,pregen_models/dense_32_192_6b.h5,1,latency,False,,,,,,,,,,,,,,,,
dense_32_192_6b,32,192,6,pregen_models/dense_32_192_6b.h5,512,latency,False,,,,,,,,,,,,,,,,
dense_32_192_6b,32,192,6,pregen_models/dense_32_192_6b.h5,1024,latency,False,,,,,,,,,,,,,,,,
dense_32_192_8b,32,192,8,pregen_models/dense_32_192_8b.h5,1,latency,False,,,,,,,,,,,,,,,,
dense_32_192_8b,32,192,8,pregen_models/dense_32_192_8b.h5,512,latency,False,,,,,,,,,,,,,,,,
dense_32_192_8b,32,192,8,pregen_models/dense_32_192_8b.h5,1024,latency,False,,,,,,,,,,,,,,,,
dense_32_192_10b,32,192,10,pregen_models/dense_32_192_10b.h5,1,latency,False,,,,,,,,,,,,,,,,
dense_32_192_10b,32,192,10,pregen_models/dense_32_192_10b.h5,512,latency,False,,,,,,,,,,,,,,,,
dense_32_192_10b,32,192,10,pregen_models/dense_32_192_10b.h5,1024,latency,False,,,,,,,,,,,,,,,,
dense_32_192_12b,32,192,12,pregen_models/dense_32_192_12b.h5,1,latency,False,,,,,,,,,,,,,,,,
dense_32_192_12b,32,192,12,pregen_models/dense_32_192_12b.h5,512,latency,False,,,,,,,,,,,,,,,,
dense_32_192_12b,32,192,12,pregen_models/dense_32_192_12b.h5,1024,latency,False,,,,,,,,,,,,,,,,
dense_32_192_14b,32,192,14,pregen_models/dense_32_192_14b.h5,1,latency,False,,,,,,,,,,,,,,,,
dense_32_192_14b,32,192,14,pregen_models/dense_32_192_14b.h5,512,latency,False,,,,,,,,,,,,,,,,
dense_32_192_14b,32,192,14,pregen_models/dense_32_192_14b.h5,1024,latency,False,,,,,,,,,,,,,,,,
dense_32_224_2b,32,224,2,pregen_models/dense_32_224_2b.h5,1,latency,False,,,,,,,,,,,,,,,,
dense_32_224_2b,32,224,2,pregen_models/dense_32_224_2b.h5,512,latency,False,,,,,,,,,,,,,,,,
dense_32_224_2b,32,224,2,pregen_models/dense_32_224_2b.h5,1024,latency,False,,,,,,,,,,,,,,,,
dense_32_224_4b,32,224,4,pregen_models/dense_32_224_4b.h5,1,latency,False,,,,,,,,,,,,,,,,
dense_32_224_4b,32,224,4,pregen_models/dense_32_224_4b.h5,512,latency,False,,,,,,,,,,,,,,,,
dense_32_224_4b,32,224,4,pregen_models/dense_32_224_4b.h5,1024,latency,False,,,,,,,,,,,,,,,,
dense_32_224_6b,32,224,6,pregen_models/dense_32_224_6b.h5,1,latency,False,,,,,,,,,,,,,,,,
dense_32_224_6b,32,224,6,pregen_models/dense_32_224_6b.h5,512,latency,False,,,,,,,,,,,,,,,,
dense_32_224_6b,32,224,6,pregen_models/dense_32_224_6b.h5,1024,latency,False,,,,,,,,,,,,,,,,
dense_32_224_8b,32,224,8,pregen_models/dense_32_224_8b.h5,1,latency,False,,,,,,,,,,,,,,,,
dense_32_224_8b,32,224,8,pregen_models/dense_32_224_8b.h5,512,latency,False,,,,,,,,,,,,,,,,
dense_32_224_8b,32,224,8,pregen_models/dense_32_224_8b.h5,1024,latency,False,,,,,,,,,,,,,,,,
dense_32_224_10b,32,224,10,pregen_models/dense_32_224_10b.h5,1,latency,False,,,,,,,,,,,,,,,,
dense_32_224_10b,32,224,10,pregen_models/dense_32_224_10b.h5,512,latency,False,,,,,,,,,,,,,,,,
dense_32_224_10b,32,224,10,pregen_models/dense_32_224_10b.h5,1024,latency,False,,,,,,,,,,,,,,,,
dense_32_224_12b,32,224,12,pregen_models/dense_32_224_12b.h5,1,latency,False,,,,,,,,,,,,,,,,
dense_32_224_12b,32,224,12,pregen_models/dense_32_224_12b.h5,512,latency,False,,,,,,,,,,,,,,,,
dense_32_224_12b,32,224,12,pregen_models/dense_32_224_12b.h5,1024,latency,False,,,,,,,,,,,,,,,,
dense_32_224_14b,32,224,14,pregen_models/dense_32_224_14b.h5,1,latency,False,,,,,,,,,,,,,,,,
dense_32_224_14b,32,224,14,pregen_models/dense_32_224_14b.h5,512,latency,False,,,,,,,,,,,,,,,,
dense_32_224_14b,32,224,14,pregen_models/dense_32_224_14b.h5,1024,latency,False,,,,,,,,,,,,,,,,
dense_32_256_2b,32,256,2,pregen_models/dense_32_256_2b.h5,1,latency,False,,,,,,,,,,,,,,,,
dense_32_256_2b,32,256,2,pregen_models/dense_32_256_2b.h5,512,latency,False,,,,,,,,,,,,,,,,
dense_32_256_2b,32,256,2,pregen_models/dense_32_256_2b.h5,1024,latency,False,,,,,,,,,,,,,,,,
dense_32_256_4b,32,256,4,pregen_models/dense_32_256_4b.h5,1,latency,False,,,,,,,,,,,,,,,,
dense_32_256_4b,32,256,4,pregen_models/dense_32_256_4b.h5,512,latency,False,,,,,,,,,,,,,,,,
dense_32_256_4b,32,256,4,pregen_models/dense_32_256_4b.h5,1024,latency,False,,,,,,,,,,,,,,,,
dense_32_256_6b,32,256,6,pregen_models/dense_32_256_6b.h5,1,latency,False,,,,,,,,,,,,,,,,
dense_32_256_6b,32,256,6,pregen_models/dense_32_256_6b.h5,512,latency,False,,,,,,,,,,,,,,,,
dense_32_256_6b,32,256,6,pregen_models/dense_32_256_6b.h5,1024,latency,False,,,,,,,,,,,,,,,,
dense_32_256_8b,32,256,8,pregen_models/dense_32_256_8b.h5,1,latency,False,,,,,,,,,,,,,,,,
dense_32_256_8b,32,256,8,pregen_models/dense_32_256_8b.h5,512,latency,False,,,,,,,,,,,,,,,,
dense_32_256_8b,32,256,8,pregen_models/dense_32_256_8b.h5,1024,latency,False,,,,,,,,,,,,,,,,
dense_32_256_10b,32,256,10,pregen_models/dense_32_256_10b.h5,1,latency,False,,,,,,,,,,,,,,,,
dense_32_256_10b,32,256,10,pregen_models/dense_32_256_10b.h5,512,latency,False,,,,,,,,,,,,,,,,
dense_32_256_10b,32,256,10,pregen_models/dense_32_256_10b.h5,1024,latency,False,,,,,,,,,,,,,,,,
dense_32_256_12b,32,256,12,pregen_models/dense_32_256_12b.h5,1,latency,False,,,,,,,,,,,,,,,,
dense_32_256_12b,32,256,12,pregen_models/dense_32_256_12b.h5,512,latency,False,,,,,,,,,,,,,,,,
dense_32_256_12b,32,256,12,pregen_models/dense_32_256_12b.h5,1024,latency,False,,,,,,,,,,,,,,,,
dense_32_256_14b,32,256,14,pregen_models/dense_32_256_14b.h5,1,latency,False,,,,,,,,,,,,,,,,
