model_name,d_in,d_out,prec,model_file,rf,strategy,hls_synth_success,TargetClockPeriod_hls,EstimatedClockPeriod_hls,BestLatency_hls,WorstLatency_hls,IntervalMin_hls,IntervalMax_hls,FF_hls,LUT_hls,BRAM_18K_hls,DSP_hls,URAM_hls,AvailableBRAM_18K_hls,AvailableDSP_hls,AvailableFF_hls,AvailableLUT_hls,AvailableURAM_hls
dense_32_96_12b,32,96,12,pregen_models/dense_32_96_12b.h5,1,resource,True,5.0,4.372,1.0,1.0,2.0,2.0,27257.0,67406.0,0.0,2583.0,0.0,5376.0,12288.0,3456000.0,1728000.0,1280.0
dense_32_96_12b,32,96,12,pregen_models/dense_32_96_12b.h5,512,resource,True,5.0,3.691,513.0,514.0,512.0,512.0,1741.0,12100.0,3.0,6.0,0.0,5376.0,12288.0,3456000.0,1728000.0,1280.0
dense_32_96_12b,32,96,12,pregen_models/dense_32_96_12b.h5,1024,resource,True,5.0,3.691,1025.0,1026.0,1024.0,1024.0,1696.0,10013.0,3.0,3.0,0.0,5376.0,12288.0,3456000.0,1728000.0,1280.0
dense_32_96_14b,32,96,14,pregen_models/dense_32_96_14b.h5,1,resource,True,5.0,4.37,1.0,1.0,2.0,2.0,28006.0,60192.0,0.0,2912.0,0.0,5376.0,12288.0,3456000.0,1728000.0,1280.0
dense_32_96_14b,32,96,14,pregen_models/dense_32_96_14b.h5,512,resource,True,5.0,3.691,513.0,514.0,512.0,512.0,1741.0,12100.0,4.0,6.0,0.0,5376.0,12288.0,3456000.0,1728000.0,1280.0
dense_32_96_14b,32,96,14,pregen_models/dense_32_96_14b.h5,1024,resource,True,5.0,3.691,1025.0,1026.0,1024.0,1024.0,1696.0,10013.0,4.0,3.0,0.0,5376.0,12288.0,3456000.0,1728000.0,1280.0
dense_32_128_2b,32,128,2,pregen_models/dense_32_128_2b.h5,1,resource,False,,,,,,,,,,,,,,,,
dense_32_128_2b,32,128,2,pregen_models/dense_32_128_2b.h5,512,resource,True,5.0,3.344,513.0,514.0,512.0,512.0,2189.0,14300.0,2.0,0.0,0.0,5376.0,12288.0,3456000.0,1728000.0,1280.0
dense_32_128_2b,32,128,2,pregen_models/dense_32_128_2b.h5,1024,resource,True,5.0,3.328,1025.0,1026.0,1024.0,1024.0,2184.0,11497.0,2.0,0.0,0.0,5376.0,12288.0,3456000.0,1728000.0,1280.0
dense_32_128_4b,32,128,4,pregen_models/dense_32_128_4b.h5,1,resource,False,,,,,,,,,,,,,,,,
dense_32_128_4b,32,128,4,pregen_models/dense_32_128_4b.h5,512,resource,True,5.0,3.344,513.0,514.0,512.0,512.0,2204.0,14300.0,2.0,0.0,0.0,5376.0,12288.0,3456000.0,1728000.0,1280.0
dense_32_128_4b,32,128,4,pregen_models/dense_32_128_4b.h5,1024,resource,True,5.0,3.328,1025.0,1026.0,1024.0,1024.0,2191.0,11497.0,2.0,0.0,0.0,5376.0,12288.0,3456000.0,1728000.0,1280.0
dense_32_128_6b,32,128,6,pregen_models/dense_32_128_6b.h5,1,resource,False,,,,,,,,,,,,,,,,
dense_32_128_6b,32,128,6,pregen_models/dense_32_128_6b.h5,512,resource,True,5.0,3.691,513.0,514.0,512.0,512.0,2285.0,14265.0,3.0,8.0,0.0,5376.0,12288.0,3456000.0,1728000.0,1280.0
dense_32_128_6b,32,128,6,pregen_models/dense_32_128_6b.h5,1024,resource,True,5.0,3.691,1025.0,1026.0,1024.0,1024.0,2224.0,11482.0,3.0,4.0,0.0,5376.0,12288.0,3456000.0,1728000.0,1280.0
dense_32_128_8b,32,128,8,pregen_models/dense_32_128_8b.h5,1,resource,False,,,,,,,,,,,,,,,,
dense_32_128_8b,32,128,8,pregen_models/dense_32_128_8b.h5,512,resource,True,5.0,3.691,513.0,514.0,512.0,512.0,2285.0,14260.0,3.0,8.0,0.0,5376.0,12288.0,3456000.0,1728000.0,1280.0
dense_32_128_8b,32,128,8,pregen_models/dense_32_128_8b.h5,1024,resource,True,5.0,3.691,1025.0,1026.0,1024.0,1024.0,2224.0,11477.0,3.0,4.0,0.0,5376.0,12288.0,3456000.0,1728000.0,1280.0
dense_32_128_10b,32,128,10,pregen_models/dense_32_128_10b.h5,1,resource,False,,,,,,,,,,,,,,,,
dense_32_128_10b,32,128,10,pregen_models/dense_32_128_10b.h5,512,resource,True,5.0,3.691,513.0,514.0,512.0,512.0,2285.0,14260.0,4.0,8.0,0.0,5376.0,12288.0,3456000.0,1728000.0,1280.0
dense_32_128_10b,32,128,10,pregen_models/dense_32_128_10b.h5,1024,resource,True,5.0,3.691,1025.0,1026.0,1024.0,1024.0,2224.0,11477.0,4.0,4.0,0.0,5376.0,12288.0,3456000.0,1728000.0,1280.0
dense_32_128_12b,32,128,12,pregen_models/dense_32_128_12b.h5,1,resource,False,,,,,,,,,,,,,,,,
dense_32_128_12b,32,128,12,pregen_models/dense_32_128_12b.h5,512,resource,True,5.0,3.691,513.0,514.0,512.0,512.0,2285.0,14260.0,4.0,8.0,0.0,5376.0,12288.0,3456000.0,1728000.0,1280.0
dense_32_128_12b,32,128,12,pregen_models/dense_32_128_12b.h5,1024,resource,True,5.0,3.691,1025.0,1026.0,1024.0,1024.0,2224.0,11477.0,4.0,4.0,0.0,5376.0,12288.0,3456000.0,1728000.0,1280.0
dense_32_128_14b,32,128,14,pregen_models/dense_32_128_14b.h5,1,resource,False,,,,,,,,,,,,,,,,
dense_32_128_14b,32,128,14,pregen_models/dense_32_128_14b.h5,512,resource,True,5.0,3.691,513.0,514.0,512.0,512.0,2285.0,14260.0,5.0,8.0,0.0,5376.0,12288.0,3456000.0,1728000.0,1280.0
dense_32_128_14b,32,128,14,pregen_models/dense_32_128_14b.h5,1024,resource,True,5.0,3.691,1025.0,1026.0,1024.0,1024.0,2224.0,11477.0,5.0,4.0,0.0,5376.0,12288.0,3456000.0,1728000.0,1280.0
dense_32_160_2b,32,160,2,pregen_models/dense_32_160_2b.h5,1,resource,False,,,,,,,,,,,,,,,,
dense_32_160_2b,32,160,2,pregen_models/dense_32_160_2b.h5,512,resource,True,5.0,3.344,513.0,514.0,512.0,512.0,2705.0,23360.0,2.0,0.0,0.0,5376.0,12288.0,3456000.0,1728000.0,1280.0
dense_32_160_2b,32,160,2,pregen_models/dense_32_160_2b.h5,1024,resource,True,5.0,3.328,1025.0,1026.0,1024.0,1024.0,2698.0,16411.0,2.0,0.0,0.0,5376.0,12288.0,3456000.0,1728000.0,1280.0
dense_32_160_4b,32,160,4,pregen_models/dense_32_160_4b.h5,1,resource,False,,,,,,,,,,,,,,,,
dense_32_160_4b,32,160,4,pregen_models/dense_32_160_4b.h5,512,resource,True,5.0,3.344,513.0,514.0,512.0,512.0,2724.0,23360.0,3.0,0.0,0.0,5376.0,12288.0,3456000.0,1728000.0,1280.0
dense_32_160_4b,32,160,4,pregen_models/dense_32_160_4b.h5,1024,resource,True,5.0,3.328,1025.0,1026.0,1024.0,1024.0,2707.0,16411.0,3.0,0.0,0.0,5376.0,12288.0,3456000.0,1728000.0,1280.0
dense_32_160_6b,32,160,6,pregen_models/dense_32_160_6b.h5,1,resource,False,,,,,,,,,,,,,,,,
dense_32_160_6b,32,160,6,pregen_models/dense_32_160_6b.h5,512,resource,True,5.0,3.691,513.0,514.0,512.0,512.0,2829.0,23315.0,3.0,10.0,0.0,5376.0,12288.0,3456000.0,1728000.0,1280.0
dense_32_160_6b,32,160,6,pregen_models/dense_32_160_6b.h5,1024,resource,True,5.0,3.691,1025.0,1026.0,1024.0,1024.0,2752.0,16391.0,3.0,5.0,0.0,5376.0,12288.0,3456000.0,1728000.0,1280.0
dense_32_160_8b,32,160,8,pregen_models/dense_32_160_8b.h5,1,resource,False,,,,,,,,,,,,,,,,
dense_32_160_8b,32,160,8,pregen_models/dense_32_160_8b.h5,512,resource,True,5.0,3.691,513.0,514.0,512.0,512.0,2829.0,23310.0,4.0,10.0,0.0,5376.0,12288.0,3456000.0,1728000.0,1280.0
dense_32_160_8b,32,160,8,pregen_models/dense_32_160_8b.h5,1024,resource,True,5.0,3.691,1025.0,1026.0,1024.0,1024.0,2752.0,16386.0,4.0,5.0,0.0,5376.0,12288.0,3456000.0,1728000.0,1280.0
dense_32_160_10b,32,160,10,pregen_models/dense_32_160_10b.h5,1,resource,False,,,,,,,,,,,,,,,,
dense_32_160_10b,32,160,10,pregen_models/dense_32_160_10b.h5,512,resource,True,5.0,3.691,513.0,514.0,512.0,512.0,2829.0,23310.0,4.0,10.0,0.0,5376.0,12288.0,3456000.0,1728000.0,1280.0
dense_32_160_10b,32,160,10,pregen_models/dense_32_160_10b.h5,1024,resource,True,5.0,3.691,1025.0,1026.0,1024.0,1024.0,2752.0,16386.0,4.0,5.0,0.0,5376.0,12288.0,3456000.0,1728000.0,1280.0
dense_32_160_12b,32,160,12,pregen_models/dense_32_160_12b.h5,1,resource,False,,,,,,,,,,,,,,,,
dense_32_160_12b,32,160,12,pregen_models/dense_32_160_12b.h5,512,resource,True,5.0,3.691,513.0,514.0,512.0,512.0,2829.0,23310.0,5.0,10.0,0.0,5376.0,12288.0,3456000.0,1728000.0,1280.0
dense_32_160_12b,32,160,12,pregen_models/dense_32_160_12b.h5,1024,resource,True,5.0,3.691,1025.0,1026.0,1024.0,1024.0,2752.0,16386.0,5.0,5.0,0.0,5376.0,12288.0,3456000.0,1728000.0,1280.0
dense_32_160_14b,32,160,14,pregen_models/dense_32_160_14b.h5,1,resource,False,,,,,,,,,,,,,,,,
dense_32_160_14b,32,160,14,pregen_models/dense_32_160_14b.h5,512,resource,True,5.0,3.691,513.0,514.0,512.0,512.0,2829.0,23310.0,5.0,10.0,0.0,5376.0,12288.0,3456000.0,1728000.0,1280.0
dense_32_160_14b,32,160,14,pregen_models/dense_32_160_14b.h5,1024,resource,True,5.0,3.691,1025.0,1026.0,1024.0,1024.0,2752.0,16386.0,5.0,5.0,0.0,5376.0,12288.0,3456000.0,1728000.0,1280.0
